SUBURB_NAME,DATE_MONTH,avg_land_value,property_count,DATE_MONTH_QDATE,property_count_int,avg_land_value_decimal
SKENNARS HEAD,2016-07-01,"439754.56919060042","383",2016/07/01,"383",439754.57
MARRAR,2019-07-01,"439721.32075471687","265",2019/07/01,"265",439721.32
ADAMSTOWN HEIGHTS,2020-07-01,"439702.47174447187","2035",2020/07/01,"2035",439702.47
UPPER COOPERS CREEK,2016-07-01,"439533.33333333326","30",2016/07/01,"30",439533.33
DUNDEE,2020-07-01,"439411.34751773055","141",2020/07/01,"141",439411.35
FINGAL BAY,2017-07-01,"439402.64452644537","813",2017/07/01,"813",439402.64
LOWER DUCK CREEK,2020-07-01,"439332.49999999994","24",2020/07/01,"24",439332.50
PILLIGA,2019-07-01,"439321.63179916306","239",2019/07/01,"239",439321.63
ELTHAM,2020-07-01,"439300.80882352946","136",2020/07/01,"136",439300.81
CLAREMONT MEADOWS,2019-07-01,"439164.18731117772","1655",2019/07/01,"1655",439164.19
BIDDON,2016-07-01,"439161.40350877191","57",2016/07/01,"57",439161.40
MCLEANS RIDGES,2018-07-01,"439160.49382716051","243",2018/07/01,"243",439160.49
HALTON,2016-07-01,"439151.72413793107","29",2016/07/01,"29",439151.72
SHELLY BEACH,2016-07-01,"439117.810760668","539",2016/07/01,"539",439117.81
LEADVILLE,2020-07-01,"439093.30578512396","121",2020/07/01,"121",439093.31
WEST HOXTON,2016-07-01,"439078.14659685828","2865",2016/07/01,"2865",439078.15
ETTALONG BEACH,2016-07-01,"439043.43891402695","1768",2016/07/01,"1768",439043.44
BELMONT,2018-07-01,"438911.05261075933","2528",2018/07/01,"2528",438911.05
BERRINGER LAKE,2018-07-01,"438904.76190476189","21",2018/07/01,"21",438904.76
EMPIRE BAY,2019-07-01,"438881.6234498308","887",2019/07/01,"887",438881.62
EVANS HEAD,2020-07-01,"438832.6694214879","1210",2020/07/01,"1210",438832.67
WINDANG,2020-07-01,"438831.61375661369","756",2020/07/01,"756",438831.61
ADAMSTOWN HEIGHTS,2019-07-01,"438813.82309582346","2035",2019/07/01,"2035",438813.82
FITZGERALDS VALLEY,2020-07-01,"438778","5",2020/07/01,"5",438778.00
GREENLANDS,2020-07-01,"438757.27272727271","77",2020/07/01,"77",438757.27
GLENNING VALLEY,2019-07-01,"438727.5032175032","777",2019/07/01,"777",438727.50
RYAN,2016-07-01,"438720","43",2016/07/01,"43",438720.00
MAYFIELD WEST,2019-07-01,"438676.20145631063","824",2019/07/01,"824",438676.20
DULGUIGAN,2020-07-01,"438549.11764705885","68",2020/07/01,"68",438549.12
EMU HEIGHTS,2020-07-01,"438465.60337552754","1185",2020/07/01,"1185",438465.60
BAW BAW,2019-07-01,"438457.47126436786","87",2019/07/01,"87",438457.47
ALLYNBROOK,2016-07-01,"438417.6470588235","51",2016/07/01,"51",438417.65
LAKE ILLAWARRA,2019-07-01,"438376.58865886589","1111",2019/07/01,"1111",438376.59
HARRINGTON PARK,2016-07-01,"438298.15426318365","4058",2016/07/01,"4058",438298.15
ROOKHURST,2017-07-01,"438170.21276595746","47",2017/07/01,"47",438170.21
ALSTONVALE,2016-07-01,"438169.55414012738","157",2016/07/01,"157",438169.55
ULLAMALLA,2018-07-01,"438169.23076923075","13",2018/07/01,"13",438169.23
GREENLEIGH,2017-07-01,"438071.95121951215","246",2017/07/01,"246",438071.95
QUIALIGO,2018-07-01,"438062.62857142853","175",2018/07/01,"175",438062.63
MOUNT FAIRY,2020-07-01,"438033.61538461543","130",2020/07/01,"130",438033.62
MOUNT SEAVIEW,2016-07-01,"438013.79310344829","29",2016/07/01,"29",438013.79
REEDY CREEK,2019-07-01,"437970.13513513515","74",2019/07/01,"74",437970.14
HAYWARDS BAY,2020-07-01,"437954.5454545457","440",2020/07/01,"440",437954.55
BRAYS CREEK,2017-07-01,"437953.84615384619","39",2017/07/01,"39",437953.85
WOODLAWN,2019-07-01,"437920","16",2019/07/01,"16",437920.00
WOODLAWN,2020-07-01,"437920","16",2020/07/01,"16",437920.00
TYRINGHAM,2020-07-01,"437890.26315789472","76",2020/07/01,"76",437890.26
BIG HILL,2019-07-01,"437872.22222222225","90",2019/07/01,"90",437872.22
BIG HILL,2020-07-01,"437872.22222222213","90",2020/07/01,"90",437872.22
BILPIN,2020-07-01,"437847.78443113784","334",2020/07/01,"334",437847.78
